Row,Timestamp,Actual,Actual Change,Actual Direction,Prediction,Predicted Change,Predicted Direction,Correct,Score,Error,Confidence
1,2015-10-01 08:00:00,0.04642134,100.0000,,0.10969076,0.0000,,,0.0,-136.29,100.00000000
2,2015-10-01 09:00:00,0.10959366,57.6423,Up,0.04642134,0.0000,Up,Right,50.0,-39.33,0.19960080
3,2015-10-01 10:00:00,0.11381360,3.7078,Up,0.10959366,-0.0000,Down,Wrong,33.3,-24.98,0.19960080
4,2015-10-01 11:00:00,0.11383759,0.0211,Up,0.11381360,0.0000,Up,Right,50.0,-18.73,0.19960080
5,2015-10-01 12:00:00,2.27063259,94.9865,Up,0.11383759,0.0000,Up,Right,60.0,4.01,0.19960080
6,2015-10-01 13:00:00,0.07594937,-2889.6662,Down,2.27063251,-0.0000,Down,Right,66.7,-478.27,0.19960080
7,2015-10-01 14:00:00,0.06330182,-19.9797,Down,0.07594936,-0.0000,Down,Right,71.4,-412.80,0.13947001
8,2015-10-01 15:00:00,0.10097185,37.3075,Up,0.06330182,0.0000,Up,Right,75.0,-356.53,0.13947001
9,2015-10-01 16:00:00,0.09190025,-9.8711,Down,0.10097186,0.0000,Up,Wrong,66.7,-318.02,0.13947001
10,2015-10-01 17:00:00,0.10880027,15.5331,Up,0.04642134,-49.4873,Down,Wrong,60.0,-280.48,0.14865890
11,2015-10-01 18:00:00,0.10895529,0.1423,Up,0.04642134,-57.3334,Down,Wrong,54.5,-249.77,0.16884606
12,2015-10-01 19:00:00,0.10864569,-0.2850,Down,0.04642134,-57.3941,Down,Right,58.3,-224.18,0.19804204
13,2015-10-01 20:00:00,0.10887772,0.2131,Up,0.11030994,1.5318,Up,Right,61.5,-207.04,0.19805394
14,2015-10-01 21:00:00,0.10895072,0.0670,Up,0.10981067,0.8569,Up,Right,64.3,-192.30,0.20443462
15,2015-10-01 22:00:00,0.11330731,3.8449,Up,0.10953078,0.5324,Up,Right,66.7,-179.26,0.23979109
16,2015-10-01 23:00:00,0.10491858,-7.9955,Down,0.10935676,-3.4866,Down,Right,68.8,-168.32,0.43955091
17,2015-10-02 00:00:00,0.06719866,-56.1320,Down,0.11054193,5.3597,Up,Wrong,64.7,-162.21,0.43929983
18,2015-10-02 01:00:00,0.09656968,30.4143,Up,0.10885493,61.9897,Up,Right,66.7,-153.91,0.28109306
19,2015-10-02 02:00:00,0.10892333,11.3416,Up,0.10885493,12.7216,Up,Right,68.4,-145.81,0.37436194
20,2015-10-02 03:00:00,0.06705222,-62.4455,Down,0.10885493,-0.0628,Down,Right,70.0,-141.63,0.54827631
21,2015-10-02 04:00:00,0.07968796,15.8565,Up,0.10887545,62.3741,Up,Right,71.4,-136.63,0.39900471
22,2015-10-02 05:00:00,0.11324553,29.6326,Up,0.10887545,36.6272,Up,Right,72.7,-130.25,0.46732123
23,2015-10-02 06:00:00,0.11319805,-0.0419,Down,0.10887545,-3.8589,Down,Right,73.9,-124.42,0.53011854
24,2015-10-02 07:00:00,0.08392782,-34.8755,Down,0.11018647,-2.6605,Down,Right,75.0,-120.54,0.75209425
25,2015-10-02 08:00:00,0.08369251,-0.2812,Down,0.11108995,32.3637,Up,Wrong,72.0,-117.02,0.54636435
26,2015-10-02 09:00:00,0.11298489,25.9259,Up,0.11108995,32.7358,Up,Right,73.1,-112.46,0.85322438
27,2015-10-02 10:00:00,0.04607330,-145.2286,Down,0.11108995,-1.6772,Down,Right,74.1,-113.52,1.09816575
28,2015-10-02 11:00:00,0.05459432,15.6079,Up,0.11165843,142.3496,Up,Right,75.0,-113.20,0.70406548
29,2015-10-02 12:00:00,0.10939078,50.0924,Up,0.11165843,104.5239,Up,Right,75.9,-109.37,0.42270310
30,2015-10-02 13:00:00,0.02100840,-420.7001,Down,0.11165843,2.0730,Up,Wrong,73.3,-120.11,0.56246943
31,2015-10-02 14:00:00,0.11321229,81.4434,Up,0.11097813,428.2559,Up,Right,74.2,-116.17,0.33793198
32,2015-10-02 15:00:00,0.11338345,0.1509,Up,0.11097813,-1.9734,Down,Wrong,71.9,-112.47,0.58045047
33,2015-10-02 16:00:00,0.10948290,-3.5627,Down,0.11164838,-1.5303,Down,Right,72.7,-109.12,0.39610285
34,2015-10-02 17:00:00,0.11353602,3.5699,Up,0.11216890,2.4533,Up,Right,73.5,-105.88,0.90597281
35,2015-10-02 18:00:00,0.07155484,-58.6699,Down,0.11136311,-1.9139,Down,Right,74.3,-104.44,0.90675429
36,2015-10-02 19:00:00,0.09676876,26.0558,Up,0.11201498,56.5442,Up,Right,75.0,-101.98,1.02690673
37,2015-10-02 20:00:00,0.02525359,-283.1882,Down,0.11201498,15.7553,Up,Wrong,73.0,-108.51,0.46539493
