Row,Timestamp,Actual,Prediction,Error,Confidence
1,2018-06-10 05:49:00-06:00,7238.00000000,7239.00000000,-0.01382,100.00000000
2,2018-06-10 05:50:00-06:00,7238.50000000,7238.50000000,-0.00691,0.19960080
3,2018-06-10 05:51:00-06:00,7238.00000000,7238.50000000,-0.00691,0.19960080
4,2018-06-10 05:52:00-06:00,7232.00000000,7238.50000000,-0.02765,0.19960080
5,2018-06-10 05:53:00-06:00,7235.00000000,7235.50000000,-0.02350,0.19960080
6,2018-06-10 05:54:00-06:00,7236.00000000,7236.00000000,-0.01959,0.19960080
7,2018-06-10 05:55:00-06:00,7236.00000000,7236.00000000,-0.01679,0.19960080
8,2018-06-10 05:56:00-06:00,7235.50000000,7236.00000000,-0.01555,0.19960080
9,2018-06-10 05:57:00-06:00,7236.00000000,7236.00000000,-0.01382,99.99437332
10,2018-06-10 05:58:00-06:00,7236.00000000,7236.00000000,-0.01244,99.83412027
11,2018-06-10 05:59:00-06:00,7236.00000000,7236.00000000,-0.01131,100.00000000
12,2018-06-10 06:00:00-06:00,7237.50000000,7238.50000000,-0.01152,99.99970794
13,2018-06-10 06:01:00-06:00,7239.50000000,7238.50000000,-0.00957,100.00000000
14,2018-06-10 06:02:00-06:00,7239.50000000,7238.50000000,-0.00790,100.00000000
15,2018-06-10 06:03:00-06:00,7239.00000000,7239.50000000,-0.00783,99.99476671
16,2018-06-10 06:04:00-06:00,7239.50000000,7237.50000000,-0.00562,100.00000000
17,2018-06-10 06:05:00-06:00,7245.50000000,7239.50000000,-0.00042,53.59963179
18,2018-06-10 06:06:00-06:00,7245.50000000,7237.50000000,0.00574,95.89784145
19,2018-06-10 06:07:00-06:00,7249.00000000,7245.50000000,0.00798,100.00000000
20,2018-06-10 06:08:00-06:00,7246.50000000,7249.50000000,0.00551,100.00000000
21,2018-06-10 06:09:00-06:00,7246.50000000,7249.00000000,0.00361,100.00000000
22,2018-06-10 06:10:00-06:00,7246.00000000,7246.50000000,0.00313,100.00000000
23,2018-06-10 06:11:00-06:00,7246.50000000,7249.50000000,0.00119,99.99972582
24,2018-06-10 06:12:00-06:00,7246.50000000,7239.50000000,0.00517,99.99757409
25,2018-06-10 06:13:00-06:00,7246.00000000,7239.50000000,0.00855,99.99903440
26,2018-06-10 06:14:00-06:00,7246.00000000,7245.50000000,0.00849,91.13515019
27,2018-06-10 06:15:00-06:00,7246.50000000,7246.50000000,0.00817,100.00000000
28,2018-06-10 06:16:00-06:00,7246.00000000,7246.50000000,0.00763,100.00000000
29,2018-06-10 06:17:00-06:00,7246.50000000,7246.50000000,0.00737,100.00000000
30,2018-06-10 06:18:00-06:00,7246.50000000,7246.50000000,0.00712,100.00000000
31,2018-06-10 06:19:00-06:00,7248.00000000,7246.50000000,0.00756,100.00000000
32,2018-06-10 06:20:00-06:00,7249.00000000,7245.50000000,0.00883,99.99278784
33,2018-06-10 06:21:00-06:00,7250.00000000,7248.00000000,0.00940,96.02003694
34,2018-06-10 06:22:00-06:00,7253.00000000,7250.00000000,0.01034,53.35657597
35,2018-06-10 06:23:00-06:00,7253.00000000,7259.50000000,0.00749,96.54908180
36,2018-06-10 06:24:00-06:00,7251.00000000,7253.50000000,0.00632,100.00000000
37,2018-06-10 06:25:00-06:00,7253.00000000,7253.50000000,0.00596,100.00000000
38,2018-06-10 06:26:00-06:00,7252.50000000,7253.50000000,0.00544,100.00000000
39,2018-06-10 06:27:00-06:00,7250.50000000,7253.50000000,0.00424,100.00000000
40,2018-06-10 06:28:00-06:00,7251.00000000,7246.50000000,0.00569,100.00000000
41,2018-06-10 06:29:00-06:00,7250.50000000,7251.00000000,0.00538,95.46322227
42,2018-06-10 06:30:00-06:00,7250.50000000,7248.00000000,0.00607,99.82722402
43,2018-06-10 06:31:00-06:00,7249.00000000,7248.00000000,0.00625,96.35602236
44,2018-06-10 06:32:00-06:00,7248.00000000,7236.00000000,0.00987,99.99998808
45,2018-06-10 06:33:00-06:00,7245.00000000,7235.50000000,0.01257,78.10225487
46,2018-06-10 06:34:00-06:00,7242.50000000,7245.50000000,0.01140,100.00000000
47,2018-06-10 06:35:00-06:00,7242.50000000,7245.35009766,0.01032,100.00000000
48,2018-06-10 06:36:00-06:00,7244.00000000,7239.50000000,0.01140,86.08926535
49,2018-06-10 06:37:00-06:00,7243.50000000,7244.00000000,0.01102,100.00000000
50,2018-06-10 06:38:00-06:00,7244.00000000,7248.00000000,0.00970,99.99946356
51,2018-06-10 06:39:00-06:00,7244.00000000,7249.00000000,0.00815,94.97163892
52,2018-06-10 06:40:00-06:00,7243.50000000,7244.00000000,0.00786,96.24611139
53,2018-06-10 06:41:00-06:00,7244.00000000,7244.00000000,0.00772,96.56597972
54,2018-06-10 06:42:00-06:00,7244.00000000,7250.00000000,0.00604,93.06739569
55,2018-06-10 06:43:00-06:00,7243.50000000,7244.00000000,0.00580,99.99957681
56,2018-06-10 06:44:00-06:00,7242.00000000,7244.00000000,0.00521,100.00000000
57,2018-06-10 06:45:00-06:00,7240.50000000,7244.00000000,0.00427,100.00000000
58,2018-06-10 06:46:00-06:00,7240.50000000,7236.00000000,0.00527,99.97885227
