Row,Timestamp,Actual,Actual Change,Actual Direction,Prediction,Predicted Change,Predicted Direction,Correct,Score,Error,Confidence
1,2018-04-01 07:05:00,2.29520000,100.0000,,5.00000000,0.0000,,,0.0,-117.85,100.00000000
2,2018-04-01 07:10:00,2.28120000,-0.6137,Down,5.00000000,117.8459,Up,Wrong,0.0,-118.51,100.00000000
3,2018-04-01 07:15:00,2.90540000,21.4841,Up,5.00000000,119.1829,Up,Right,33.3,-103.04,100.00000000
4,2018-04-01 07:20:00,2.60710000,-11.4418,Down,5.00000000,72.0933,Up,Wrong,25.0,-100.23,100.00000000
5,2018-04-01 07:25:00,2.65220000,1.7005,Up,5.00000000,91.7840,Up,Right,40.0,-97.89,100.00000000
6,2018-04-01 07:30:00,2.45560000,-8.0062,Down,5.00000000,88.5227,Up,Wrong,33.3,-98.84,100.00000000
7,2018-04-01 07:35:00,2.50800000,2.0893,Up,5.00000000,103.6162,Up,Right,42.9,-98.92,100.00000000
8,2018-04-01 07:40:00,2.49630000,-0.4687,Down,5.00000000,99.3620,Up,Wrong,37.5,-99.09,100.00000000
9,2018-04-01 07:45:00,2.60710000,4.2499,Up,5.00000000,100.2964,Up,Right,44.4,-98.28,100.00000000
10,2018-04-01 07:50:00,2.47480000,-5.3459,Down,5.00000000,91.7840,Up,Wrong,40.0,-98.65,100.00000000
11,2018-04-01 07:55:00,2.40180000,-3.0394,Down,5.00000000,102.0365,Up,Wrong,36.4,-99.52,100.00000000
12,2018-04-01 08:00:00,2.42410000,0.9199,Up,5.00000000,108.1772,Up,Right,41.7,-100.08,100.00000000
13,2018-04-01 08:05:00,2.41050000,-0.5642,Down,5.00000000,106.2621,Up,Wrong,38.5,-100.65,100.00000000
14,2018-04-01 08:10:00,2.38860000,-0.9169,Down,5.00000000,107.4258,Up,Wrong,35.7,-101.27,100.00000000
15,2018-04-01 08:15:00,2.32310000,-2.8195,Down,5.00000000,109.3276,Up,Wrong,33.3,-102.20,100.00000000
16,2018-04-01 08:20:00,2.33580000,0.5437,Up,5.00000000,115.2297,Up,Right,37.5,-102.94,100.00000000
17,2018-04-01 08:25:00,2.25310000,-3.6705,Down,5.00000000,114.0594,Up,Wrong,35.3,-104.05,100.00000000
18,2018-04-01 08:30:00,2.17210000,-3.7291,Down,5.00000000,121.9165,Up,Wrong,33.3,-105.51,100.00000000
19,2018-04-01 08:35:00,2.21310000,1.8526,Up,5.00000000,130.1920,Up,Right,36.8,-106.58,100.00000000
20,2018-04-01 08:40:00,2.25360000,1.7971,Up,5.00000000,125.9274,Up,Right,40.0,-107.35,100.00000000
21,2018-04-01 08:45:00,2.35180000,4.1755,Up,5.00000000,121.8672,Up,Right,42.9,-107.60,100.00000000
22,2018-04-01 08:50:00,2.57230000,8.5721,Up,5.00000000,112.6031,Up,Right,45.5,-107.00,100.00000000
23,2018-04-01 08:55:00,2.41740000,-6.4077,Down,5.00000000,94.3786,Up,Wrong,43.5,-106.99,100.00000000
24,2018-04-01 09:00:00,2.49030000,2.9274,Up,5.00000000,106.8338,Up,Right,45.8,-106.73,100.00000000
25,2018-04-01 09:05:00,2.42340000,-2.7606,Down,5.00000000,100.7790,Up,Wrong,44.0,-106.71,100.00000000
26,2018-04-01 09:10:00,2.45730000,1.3796,Up,5.00000000,106.3217,Up,Right,46.2,-106.59,100.00000000
27,2018-04-01 09:15:00,2.46600000,0.3528,Up,5.00000000,103.4754,Up,Right,48.1,-106.45,100.00000000
28,2018-04-01 09:20:00,2.36650000,-4.2045,Down,5.00000000,102.7575,Up,Wrong,46.4,-106.62,100.00000000
29,2018-04-01 09:25:00,2.32730000,-1.6844,Down,5.00000000,111.2825,Up,Wrong,44.8,-106.90,100.00000000
30,2018-04-01 09:30:00,2.27370000,-2.3574,Down,5.00000000,114.8412,Up,Wrong,43.3,-107.34,100.00000000
31,2018-04-01 09:35:00,2.23920000,-1.5407,Down,5.00000000,119.9059,Up,Wrong,41.9,-107.85,100.00000000
32,2018-04-01 09:40:00,2.10570000,-6.3399,Down,5.00000000,123.2940,Up,Wrong,40.6,-108.78,100.00000000
33,2018-04-01 09:45:00,2.22220000,5.2426,Up,5.00000000,137.4507,Up,Right,42.4,-109.27,100.00000000
