timestamp, spread, target_value, m1_ask, m1_ask_size, m1_bid, m1_bid_size, m2_ask, m2_ask_size, m2_bid, m2_bid_size
datetime, float, int, float, float, float, float, float, float, float, float
T, , , , , , , , , ,
2018-04-01 07:00:00.000000, 2.32, 5, 6848.50, 149682.00, 6848.00, 338598.00, 6690.00, 70.00, 6689.50, 49466.00
2018-04-01 07:05:00.000000, 2.30, 5, 6840.50, 541300.00, 6840.00, 158007.00, 6684.00, 1631.00, 6683.50, 70.00
2018-04-01 07:10:00.000000, 2.28, 5, 6838.50, 586886.00, 6838.00, 5569.00, 6683.00, 25911.00, 6682.50, 558.00
2018-04-01 07:15:00.000000, 2.91, 5, 6780.50, 10000.00, 6777.50, 11311.00, 6584.00, 773007.00, 6583.50, 5237.00
2018-04-01 07:20:00.000000, 2.61, 5, 6770.00, 343907.00, 6769.50, 96287.00, 6594.00, 8000.00, 6593.50, 20000.00
2018-04-01 07:25:00.000000, 2.65, 5, 6749.00, 1500.00, 6747.50, 30000.00, 6570.50, 7487.00, 6570.00, 6343.00
2018-04-01 07:30:00.000000, 2.46, 5, 6760.00, 32286.00, 6759.00, 98428.00, 6594.50, 5040.00, 6594.00, 1000.00
2018-04-01 07:35:00.000000, 2.51, 5, 6718.50, 4910.00, 6717.00, 120278.00, 6550.50, 55901.00, 6550.00, 70.00
2018-04-01 07:40:00.000000, 2.50, 5, 6690.00, 725947.00, 6689.50, 252126.00, 6523.50, 23000.00, 6523.00, 8000.00
2018-04-01 07:45:00.000000, 2.61, 5, 6712.50, 11639.00, 6711.50, 252944.00, 6538.00, 22130.00, 6537.50, 1541.00
2018-04-01 07:50:00.000000, 2.47, 5, 6707.50, 36431.00, 6707.00, 11206.00, 6542.50, 17169.00, 6541.50, 3956.00
2018-04-01 07:55:00.000000, 2.40, 5, 6682.50, 219875.00, 6682.00, 10045.00, 6522.50, 63957.00, 6522.00, 8024.00
2018-04-01 08:00:00.000000, 2.42, 5, 6703.50, 396703.00, 6703.00, 46931.00, 6541.50, 38500.00, 6541.00, 16937.00
2018-04-01 08:05:00.000000, 2.41, 5, 6720.50, 398796.00, 6720.00, 8347.00, 6559.00, 19644.00, 6558.50, 1879.00
2018-04-01 08:10:00.000000, 2.39, 5, 6719.50, 157813.00, 6719.00, 139934.00, 6559.50, 327.00, 6559.00, 74760.00
2018-04-01 08:15:00.000000, 2.32, 5, 6693.50, 411070.00, 6693.00, 20057.00, 6538.50, 57926.00, 6538.00, 20000.00
